"","s.HK_Aug","s.HK_Feb","s.HK_May","s.HK_Nov","s.LT_Aug","s.LT_Feb","s.LT_May","s.LT_Nov","s.SK_Aug","s.SK_Feb","s.SK_May","s.SK_Nov","index","stat","p.value"
"id393",0,0,0,0,0,0,0,0,1,0,1,1,297,0.579216778435887,0.001
"id394",0,0,0,1,0,0,0,0,1,1,0,1,721,0.539336633168164,0.001
"id395",0,0,0,1,0,0,0,0,1,0,1,1,722,0.628241237313528,0.001
"id396",0,0,0,0,0,0,0,0,0,1,1,0,76,0.49921023250978,0.002
"id397",0,0,0,0,0,0,0,0,1,1,0,0,73,0.558283790215996,0.001
"id398",0,0,0,1,0,0,0,0,0,1,0,1,241,0.609121561514415,0.001
"id399",0,1,0,0,0,0,0,0,0,1,0,0,31,0.646628320789238,0.001
"id400",0,0,0,0,0,0,0,1,0,0,0,1,72,0.426558783370196,0.014
"id401",0,0,0,0,0,0,0,0,0,0,1,0,11,0.674277677483238,0.001
"id402",0,0,1,0,0,0,0,0,0,0,0,0,3,0.532122643996827,0.001
"id404",0,0,0,0,0,0,1,0,0,0,0,0,7,0.420763241298178,0.002
"id50",0,1,0,0,0,1,1,0,0,1,0,0,551,0.47370227400462,0.003
"id6",0,0,0,0,0,0,0,0,1,1,1,1,793,0.549838867972919,0.001
"id60",0,0,1,0,0,0,0,0,0,0,0,0,3,0.421178332643917,0.009
"id62",0,0,0,0,0,0,0,0,1,0,0,0,9,0.4603414951178,0.005
"id63",0,0,0,0,0,1,0,0,0,0,0,0,6,0.406568504975815,0.001
"id67",0,0,0,0,0,1,0,0,0,0,0,0,6,0.650637003984873,0.001
"id7",0,0,0,0,0,0,0,0,0,0,1,0,11,0.425296670431153,0.001
"id70",0,0,1,0,0,1,0,0,0,0,0,0,36,0.496273559379898,0.002
"id71",0,0,0,0,0,1,0,0,0,0,0,0,6,0.654070028497736,0.001
"id72",0,0,0,1,0,1,0,0,0,1,0,0,225,0.552202703574512,0.002
"id73",0,0,0,0,1,1,1,0,0,0,0,0,243,0.451042848169442,0.004
"id74",0,0,0,1,0,0,0,0,0,0,0,0,4,0.341024692879114,0.017
"id75",0,1,0,0,0,0,1,1,0,0,0,0,164,0.450715535682276,0.004
"id76",1,0,0,0,1,0,0,0,0,0,0,0,16,0.431156030855157,0.015
"id78",0,0,0,0,0,0,0,0,1,0,0,0,9,0.842123010457044,0.001
"id8",0,0,1,0,0,0,0,0,0,0,0,0,3,0.435013110894787,0.003
"id81",0,0,0,0,0,0,0,1,0,0,0,0,8,0.44667699050765,0.03
"id86",0,0,0,0,0,1,0,0,0,0,0,0,6,0.339319572795749,0.033
"id88",0,0,0,0,0,1,0,0,0,0,0,0,6,0.375417229771152,0.001
"id89",0,0,0,0,0,1,0,0,0,0,0,0,6,0.347995280903106,0.001
"id94",1,0,0,0,0,0,0,0,0,0,0,0,1,0.339641900907254,0.046
"id95",0,0,0,0,0,1,0,0,0,0,0,0,6,0.364358502825365,0.001
