Sample	allGfishSid	Value	SxR
LTPC2Aug	id402	0.122699387	LT_Aug
LTCC3Feb	id402	0.122699387	LT_Feb
LTPC3Feb	id402	0.122699387	LT_Feb
SKSha3Aug	id402	0.122699387	SK_Aug
HKSta2May	id224	0.127064803	HK_May
HKSW3May	id224	0.127064803	HK_May
LTCMW1Feb	id224	0.127064803	LT_Feb
LTCC2May	id224	0.127064803	LT_May
LTCC3May	id224	0.127064803	LT_May
SKBlu1Aug	id274	0.128205128	SK_Aug
SKLKW1Nov	id274	0.128205128	SK_Nov
LTCMW3May	id265	0.13986014	LT_May
HKSta2May	id275	0.151975684	HK_May
LTCC3Feb	id275	0.151975684	LT_Feb
HKSW1Nov	id286	0.16286645	HK_Nov
SKLKW3Aug	id286	0.16286645	SK_Aug
SKLKW1Nov	id286	0.16286645	SK_Nov
HKBea1Aug	id349	0.163043478	HK_Aug
HKSta2Aug	id345	0.163043478	HK_Aug
HKSta2Aug	id369	0.163043478	HK_Aug
HKSta2Aug	id377	0.163043478	HK_Aug
HKSta3Aug	id361	0.163043478	HK_Aug
HKSta3Aug	id362	0.163043478	HK_Aug
HKSW1Aug	id351	0.163043478	HK_Aug
HKSW1Aug	id363	0.163043478	HK_Aug
HKSW1Aug	id369	0.163043478	HK_Aug
HKSW1Aug	id371	0.163043478	HK_Aug
HKSW1Aug	id374	0.163043478	HK_Aug
HKSW2Aug	id361	0.163043478	HK_Aug
HKSW2Aug	id372	0.163043478	HK_Aug
HKSW3Aug	id348	0.163043478	HK_Aug
HKSW3Aug	id361	0.163043478	HK_Aug
HKSW3Aug	id373	0.163043478	HK_Aug
HKBea3Feb	id365	0.163043478	HK_Feb
HKSta2Feb	id351	0.163043478	HK_Feb
HKSta2Feb	id361	0.163043478	HK_Feb
HKSta3Feb	id351	0.163043478	HK_Feb
HKSta3Feb	id362	0.163043478	HK_Feb
HKSta3Feb	id363	0.163043478	HK_Feb
HKSW1Feb	id339	0.163043478	HK_Feb
HKSW1Feb	id375	0.163043478	HK_Feb
HKSW1Feb	id376	0.163043478	HK_Feb
HKSW2Feb	id375	0.163043478	HK_Feb
HKBea3May	id368	0.163043478	HK_May
HKSta2May	id345	0.163043478	HK_May
HKSta3May	id362	0.163043478	HK_May
HKSta3May	id377	0.163043478	HK_May
HKSW2May	id371	0.163043478	HK_May
HKSta2Nov	id349	0.163043478	HK_Nov
HKSta2Nov	id351	0.163043478	HK_Nov
HKSta3Nov	id372	0.163043478	HK_Nov
LTCC2Aug	id367	0.163043478	LT_Aug
LTCC3Aug	id347	0.163043478	LT_Aug
LTCMW1Aug	id364	0.163043478	LT_Aug
LTCMW1Aug	id371	0.163043478	LT_Aug
LTCMW1Aug	id374	0.163043478	LT_Aug
LTCMW2Aug	id363	0.163043478	LT_Aug
LTCMW2Aug	id369	0.163043478	LT_Aug
LTCMW2Aug	id372	0.163043478	LT_Aug
LTCMW3Aug	id367	0.163043478	LT_Aug
LTPC1Aug	id371	0.163043478	LT_Aug
LTPC1Aug	id374	0.163043478	LT_Aug
LTPC3Aug	id346	0.163043478	LT_Aug
LTCC1Feb	id361	0.163043478	LT_Feb
LTCC1Feb	id372	0.163043478	LT_Feb
LTCC2Feb	id344	0.163043478	LT_Feb
LTCC2Feb	id364	0.163043478	LT_Feb
LTCC3Feb	id372	0.163043478	LT_Feb
LTCMW2Feb	id344	0.163043478	LT_Feb
LTCMW2Feb	id376	0.163043478	LT_Feb
LTCMW3Feb	id375	0.163043478	LT_Feb
LTPC1Feb	id367	0.163043478	LT_Feb
LTPC1Feb	id368	0.163043478	LT_Feb
LTPC3Feb	id363	0.163043478	LT_Feb
LTCC3May	id372	0.163043478	LT_May
LTCMW1May	id344	0.163043478	LT_May
LTCMW1May	id361	0.163043478	LT_May
LTCMW1May	id375	0.163043478	LT_May
LTCMW1May	id377	0.163043478	LT_May
LTCMW2May	id369	0.163043478	LT_May
LTCMW3May	id345	0.163043478	LT_May
LTCMW3May	id369	0.163043478	LT_May
LTPC1May	id376	0.163043478	LT_May
LTPC2May	id344	0.163043478	LT_May
LTPC2May	id358	0.163043478	LT_May
LTPC3May	id351	0.163043478	LT_May
LTCC1Nov	id373	0.163043478	LT_Nov
LTCC2Nov	id366	0.163043478	LT_Nov
LTCMW1Nov	id351	0.163043478	LT_Nov
LTPC1Nov	id341	0.163043478	LT_Nov
LTPC1Nov	id347	0.163043478	LT_Nov
LTPC1Nov	id351	0.163043478	LT_Nov
LTPC1Nov	id377	0.163043478	LT_Nov
LTPC2Nov	id358	0.163043478	LT_Nov
LTPC3Nov	id345	0.163043478	LT_Nov
LTPC3Nov	id363	0.163043478	LT_Nov
SKBlu1Aug	id361	0.163043478	SK_Aug
SKBlu2Aug	id358	0.163043478	SK_Aug
SKBlu2Aug	id361	0.163043478	SK_Aug
SKBlu3Aug	id340	0.163043478	SK_Aug
SKLKW2Aug	id374	0.163043478	SK_Aug
SKLKW3Aug	id345	0.163043478	SK_Aug
SKLKW3Aug	id361	0.163043478	SK_Aug
SKSha1Aug	id361	0.163043478	SK_Aug
SKSha2Aug	id340	0.163043478	SK_Aug
SKSha2Aug	id356	0.163043478	SK_Aug
SKSha2Aug	id376	0.163043478	SK_Aug
