#OTU ID	HKBea1May	HKBea2May	HKBea3May	HKSW1May	HKSW2May	HKSW3May	HKSta1May	HKSta2May	HKSta3May
id263	1.792114695	0	0	2.508960573	0	1.433691756	0	0	0
id264	2.5	1.75	0	1	5.25	0	5	0.75	1.25
id265	0	0	0	0	1.398601399	0	0	0	0
id266	6.07028754	5.111821086	9.265175719	3.833865815	8.306709265	7.987220447	9.584664537	6.07028754	4.47284345
id267	8.945686901	8.945686901	6.389776358	0	2.236421725	0	7.348242812	5.750798722	5.111821087
id268	2.875399361	0.958466454	0	0	2.555910543	1.597444089	2.875399361	1.916932907	1.916932907
id269	2.236421725	4.47284345	5.750798722	4.47284345	4.792332268	1.277955272	8.306709265	4.47284345	4.153354633
id27	50	0	0	12	22	15	33	0	3
id270	0	0	0	1	0	0	0	0	0
id271	0.894854586	1.342281879	2.908277405	2.460850112	1.118568233	0.223713647	0	1.118568233	0
id272	11.5	6	29.75	23.5	20.75	0.5	5.5	5.5	1.5
id273	0	0	2.095238095	2.476190476	4.19047619	0	0	0	0
id274	0	0	0	0	0	0	0	0	0
id275	0	0	0.303951368	0.759878419	0.303951368	0	0	0.151975684	0
id276	2.338634238	2.05799813	4.303086997	2.245088868	1.216089804	0.654817587	1.683816651	1.87090739	1.028999065
id277	2.264150943	0.754716981	0	0.377358491	3.396226415	0.377358491	0.754716981	0.377358491	0.754716981
id278	0	2.641509434	1.132075472	4.528301887	3.243538008	0.377358491	0.754716981	2.641509434	1.886792453
id279	6.41509434	1.886792453	8.301886792	9.433962264	8.679245283	3.018867925	4.905660377	4.150943396	1.132075472
id28	1	0	1	10	14	14	1	0	0
id280	0	0	0	0	0	0	0	0	0
id281	0	0	2.5	4	2.5	0	0	1.5	2
id282	0	0	4.5	14	3	4.5	3.5	0	0
id283	43	43	180.5	193.5	170	144.5	101	45.5	44.5
id284	1.132075472	3.018867925	3.773584906	2.264150943	1.132075472	2.641509434	4.905660377	4.150943396	3.396226415
id285	7.169811321	4.150943396	4.150943396	6.037735849	3.018867925	4.905660377	7.547169811	8.301886792	4.528301887
id286	0.325732899	0	0.977198697	0	5.048859935	0	0.325732899	0	0
id287	2.684796574	2.527194861	1.284796574	7.710920771	1.070663812	0.814132762	1.284796574	1.442398287	0.4
id288	2.142857143	1.428571429	1.428571429	1.964285714	0	0	0	0.714285714	0.535714286
