#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id347	0	3.967391304	0.27391304	0.326086957	0	0	0.108695652	0.054347826	0.054347826
id348	1.032608695	2.173913043	4.782608696	3.206521739	0	1.25	0.978260869	5.380434783	0.923913044
id349	0	0	0	0	0	0	0	0.163043478	0
id35	4	65	2235	10	0	0	7	7	13
id350	43.31521739	34.83695652	37.33695652	20.97826087	0	14.34782608	9.184782608	19.18478261	25.65217391
id351	0.108695652	0.054347826	0.108695652	0.108695652	0	0	0.108695652	0.163043478	0
id352	10.48913043	2.880434783	6.032608696	4.02173913	0	3.369565217	0.815217391	1.684782609	4.293478261
id353	0	0	0.054347826	0	0	0	0	0	0
id354	13.64130435	10.70652174	58.9673913	45.86956522	0	2.282608696	8.858695652	43.26086957	3.858695652
id355	102.2826087	144.6739131	85.48913043	52.01086956	0	67.06521739	11.95652174	50.38043479	103.9673913
id356	28.9673913	5.054347826	15.48913043	8.260869565	0	12.93478261	0.054347826	6.956521739	6.956521739
id357	166.1413044	117.4456522	166.1956522	78.9673913	130.5434783	82.5	184.4565217	86.73913044	349.5652174
id358	0.054347826	0	0.054347826	0.97826087	0	4.836956522	0	0.815217391	10.92391304
id359	12.28260869	1.032608695	4.456521737	5.380434782	2.282608696	6.630434783	7.228260869	13.09782609	28.58695652
id36	89	0	0	0	0	0	0	0	0
id360	265.2717175	167.7173913	93.91304348	90.32608696	107.9891304	96.84782608	207.5543478	163.9673913	45.81521739
id361	1.467391304	0.054347826	0	0	0	0	0.108695652	3.913043478	10.81521739
id362	1.902173913	0.054347826	0.380434783	0.108695652	0	0.27173913	0.108695652	0	0
id363	0.652173912	0.923913043	4.130434783	2.771739131	0	2.989130434	1.086956522	2.880434783	16.0326087
id364	6.902173913	12.66304348	9.619565217	6.684782609	0	17.39130435	1.195652174	5.380434783	5.543478261
id365	2.228260869	0.217391304	0.706521739	0.97826087	0	0.27173913	1.141304347	4.293478261	0.326086956
id366	22.82608696	1.086956522	4.130434783	3.641304348	0	3.967391304	3.47826087	5.054347826	2.826086957
id367	20.2173913	0.434782609	6.630434783	5.380434782	0	5.869565217	6.739130435	3.641304348	9.293478261
