#OTU ID	HKBea1Feb	HKBea2Feb	HKBea3Feb	HKSW1Feb	HKSW2Feb	HKSW3Feb	HKSta1Feb	HKSta2Feb	HKSta3Feb
id65	0	0	0	0	0	0	119	0	0
id66	5	0	24	24	1	13	0	0	22
id67	1	12	0	58	150	40	0	16	0
id68	0	0	0	0	2	0	0	0	0
id69	0	0	0	0	0	0	0	0	1
id7	0	0	0	0	0	0	1	0	0
id70	129	18	102	65	32	371	0	50	0
id71	352	19	107	79	42	381	0	1437	0
id72	165	35	4189	151	22	4967	70	151	0
id73	1	7	118	167	1	357	363	5	12
id74	1	0	0	0	0	1	0	0	0
id75	26370	12509	2391	24145	3859	5912	1322	1992	0
id76	1	0	0	0	0	2	0	0	0
id77	0	0	0	0	0	0	0	0	0
id78	0	0	0	0	0	0	10039	0	0
id79	0	2	0	0	0	0	0	0	0
id8	0	22	0	1	0	2	1	0	25
id80	0	0	0	0	0	0	0	0	0
id81	1	0	0	0	0	0	0	0	0
id82	0	0	0	0	0	0	0	0	0
id83	0	0	0	0	0	0	0	0	0
id84	6	0	0	0	0	1	20	0	0
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	2	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	2	0	0	0
id89	0	0	8	0	0	9	0	0	0
id9	0	0	5	3	26	2	1	2	0
id90	2	0	0	0	1	0	0	0	0
id91	0	0	0	0	0	7	0	1	0
id92	0	0	0	0	0	0	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	5	0	0	0	0	3	0	0	0
id96	125	11184	269	644	348	9	3	1086	683
id97	0	0	0	29	0	10	1	1	0
id98	0	0	0	0	0	0	0	0	0
id99	0	0	4	3	2801	1	0	1	0
